state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
IL,all-surveys,"Cook County, IL","Neither, The Republican Party",10,203,0.04926108374384237
IN,all-surveys,"Elkhart County Jail, IN",The Republican Party,10,28,0.35714285714285715
MA,all-surveys,"Bristol County House of Correction, MA",Neither,10,22,0.45454545454545453
NC,all-surveys,"Cumberland County, NC",The Republican Party,10,32,0.3125
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Neither,10,17,0.5882352941176471
NY,all-surveys,"Chautauqua County, NY",Neither,10,16,0.625
NY,all-surveys,"Pasco County Corrections, FL",The Democratic Party,10,57,0.17543859649122806
PA,all-surveys,"Lackawana County, PA",The Democratic Party,10,47,0.2127659574468085
PA,all-surveys,"Lackawana County, PA",The Republican Party,10,47,0.2127659574468085
PA,all-surveys,"Montgomery County Correctional Facility, PA",The Democratic Party,10,29,0.3448275862068966
PA,all-surveys,"Montgomery County Correctional Facility, PA",The Republican Party,10,29,0.3448275862068966
SC,all-surveys,"Richland County Glenn Detention Center, SC",The Republican Party,10,31,0.3225806451612903
UT,all-surveys,"Beaver County, UT",Neither,10,16,0.625
VA,all-surveys,"Rappahannock Regional Jail, VA",Neither,10,31,0.3225806451612903
WA,all-surveys,"King County Adult Detention, WA",Neither,10,19,0.5263157894736842
WA,all-surveys,"Spokane County Jail, WA",The Republican Party,10,39,0.2564102564102564
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Neither,10,21,0.47619047619047616
AL,all-surveys,"Riverside Regional, VA",Neither,9,13,0.6923076923076923
AZ,all-surveys,"Yavapai County Jail, AZ",Neither,9,19,0.47368421052631576
CA,all-surveys,"Ventura County Sheriff's Office, CA",The Democratic Party,9,37,0.24324324324324326
CO,all-surveys,"Douglas Detention Center, CO",The Republican Party,9,25,0.36
CO,all-surveys,"Mesa County, CO",The Republican Party,9,42,0.21428571428571427
DC,all-surveys,DC DOC: Central Detention Facility,The Democratic Party,9,33,0.2727272727272727
FL,all-surveys,"Leon County Jail, FL",The Republican Party,9,36,0.25
GA,all-surveys,"Bibb County Jail, GA",The Republican Party,9,30,0.3
GA,all-surveys,"Dekalb County Jail, GA",Neither,9,18,0.5
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Neither,9,14,0.6428571428571429
MA,all-surveys,"Essex County Middleton HOC, MA",The Republican Party,9,30,0.3
MI,all-surveys,"Kent County, MI ",The Republican Party,9,44,0.20454545454545456
MI,all-surveys,"Macomb County, MI",The Republican Party,9,28,0.32142857142857145
MO,all-surveys,"Cape Girardeau County Jail, MO",Neither,9,22,0.4090909090909091
NE,all-surveys,"Lancaster County, NE",The Republican Party,9,30,0.3
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Neither,9,15,0.6
NY,all-surveys,"Albany County Correctional Facility, NY",The Democratic Party,9,44,0.20454545454545456
NY,all-surveys,"Albany County Correctional Facility, NY",The Republican Party,9,44,0.20454545454545456
NY,all-surveys,"Niagara County Correctional Facility, NY",Neither,9,25,0.36
OH,all-surveys,Corrections Center of NW Ohio,Neither,9,12,0.75
PA,all-surveys,"Allegheny County Jail, PA",Neither,9,22,0.4090909090909091
PA,all-surveys,"Berks County Jail, PA",The Republican Party,9,28,0.32142857142857145
PA,all-surveys,"Fayette County, PA",Neither,9,14,0.6428571428571429
PA,all-surveys,"Lebanon County, PA",Neither,9,20,0.45
PA,all-surveys,"Montgomery County Correctional Facility, PA",Neither,9,29,0.3103448275862069
TX,all-surveys,"Collin County, TX ",The Democratic Party,9,29,0.3103448275862069
VA,all-surveys,"Pamunkey Regional Jail, VA",The Republican Party,9,27,0.3333333333333333
VA,all-surveys,"Roanoke City Adult Detention Center, VA",The Democratic Party,9,28,0.32142857142857145
WV,all-surveys,WV DCR South Central Regional Jail,Neither,9,17,0.5294117647058824
WV,all-surveys,WV DCR Southwestern Regional Jail,The Republican Party,9,25,0.36
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Neither, The Republican Party",8,362,0.022099447513812154
CA,all-surveys,"Santa Barbara County, CA",The Democratic Party,8,28,0.2857142857142857
CA,all-surveys,"Sonoma County, CA",The Democratic Party,8,12,0.6666666666666666
CO,all-surveys,"La Plata County, CO ",Neither,8,12,0.6666666666666666
CO,all-surveys,"Larimer County, CO",Neither,8,22,0.36363636363636365
FL,all-surveys,"Okaloosa County Department of Corrections, FL",The Republican Party,8,17,0.47058823529411764
GA,all-surveys,"Cobb County, GA",The Republican Party,8,23,0.34782608695652173
KS,all-surveys,"Shawnee County Detention Center, KS",Neither,8,16,0.5
MA,all-surveys,"Plymouth County Correctional Facility, MA",Neither,8,14,0.5714285714285714
NJ,all-surveys,"Bergen County, NJ",The Republican Party,8,22,0.36363636363636365
NM,all-surveys,"Chaves County Adult Detention Center, NM",Neither,8,15,0.5333333333333333
NM,all-surveys,"Eddy County Detention Center, NM",Neither,8,19,0.42105263157894735
NM,all-surveys,"Eddy County Detention Center, NM",The Republican Party,8,19,0.42105263157894735
NY,all-surveys,"Erie County, NY",Neither,8,20,0.4
NY,all-surveys,"Monroe County Sheriff's Department, NY",The Democratic Party,8,38,0.21052631578947367
NY,all-surveys,"Suffolk County, NY ",The Republican Party,8,28,0.2857142857142857
OH,all-surveys,"Greene County, OH: Adult Detention",Neither,8,12,0.6666666666666666
OH,all-surveys,"Summit County, OH",Neither,8,18,0.4444444444444444
PA,all-surveys,"Cambria County Prison, PA",Neither,8,17,0.47058823529411764
PA,all-surveys,"Delaware County, PA",Neither,8,12,0.6666666666666666
PA,all-surveys,"Franklin County, PA",Neither,8,15,0.5333333333333333
PA,all-surveys,"Lancaster County Prison, PA",Neither,8,18,0.4444444444444444
PA,all-surveys,"Lancaster County Prison, PA",The Republican Party,8,18,0.4444444444444444
TN,all-surveys,"Warren County Jail, TN",Neither,8,8,1
TX,all-surveys,"Guadalupe County, TX",The Democratic Party,8,30,0.26666666666666666
TX,all-surveys,"Potter County Detention, TX",The Republican Party,8,28,0.2857142857142857
VA,all-surveys,"Virginia Beach Correctional Facility, VA",The Democratic Party,8,41,0.1951219512195122
