state,answer_set,facility_name,race,count,n_respondents,pct_of_respondents
PA,all-surveys,"Berks County Jail, PA",Hispanic or Latino,19,60,0.31666666666666665
PA,all-surveys,"Franklin County, PA",White,19,34,0.5588235294117647
PA,all-surveys,"Lehigh County, PA",Hispanic or Latino,19,76,0.25
TN,all-surveys,"Hamilton County, TN",Black or African American,19,46,0.41304347826086957
TX,all-surveys,"McLennan County, TX",Black or African American,19,80,0.2375
UT,all-surveys,"Beaver County, UT",White,19,40,0.475
VA,all-surveys,"Chesapeake Correctional Center, VA",Black or African American,19,72,0.2638888888888889
WI,all-surveys,"Brown County Jail, WI",White,19,73,0.2602739726027397
WI,all-surveys,"Dodge County, WI",White,19,33,0.5757575757575758
WV,all-surveys,WV DCR Southern Regional Jail,White,19,27,0.7037037037037037
AL,all-surveys,"Tuscaloosa County Jail, AL",Black or African American,18,35,0.5142857142857142
AZ,all-surveys,"Yavapai County Jail, AZ",White,18,36,0.5
CA,all-surveys,"Fresno County, CA",Other,18,224,0.08035714285714286
FL,all-surveys,"Escambia County Jail, FL",Black or African American,18,53,0.33962264150943394
MO,all-surveys,"Cape Girardeau County Jail, MO",Black or African American,18,69,0.2608695652173913
TX,all-surveys,"Johnson County, TX",White,18,50,0.36
AL,all-surveys,"Riverside Regional, VA",White,17,34,0.5
AZ,all-surveys,"Pinal County Jail, AZ",White,17,51,0.3333333333333333
GA,all-surveys,"Athens Clarke County Jail, GA",White,17,67,0.2537313432835821
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Hispanic or Latino,17,109,0.1559633027522936
MA,all-surveys,"Suffolk County Jail, MA",Black or African American,17,71,0.23943661971830985
MA,all-surveys,"Suffolk County Jail, MA",Hispanic or Latino,17,71,0.23943661971830985
NJ,all-surveys,"Bergen County, NJ",Black or African American,17,51,0.3333333333333333
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Hispanic or Latino,17,70,0.24285714285714285
NY,all-surveys,"Niagara County Correctional Facility, NY",Black or African American,17,49,0.3469387755102041
OH,all-surveys,"Lorain County, OH ",Black or African American,17,44,0.38636363636363635
OH,all-surveys,"Summit County, OH",Black or African American,17,48,0.3541666666666667
PA,all-surveys,"Berks County Jail, PA",White,17,60,0.2833333333333333
PA,all-surveys,"Dauphin County Jail, PA",Hispanic or Latino,17,118,0.1440677966101695
PA,all-surveys,"Lackawana County, PA",Black or African American,17,115,0.14782608695652175
TX,all-surveys,"Potter County Detention, TX",Hispanic or Latino,17,78,0.21794871794871795
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Black or African American,17,64,0.265625
WA,all-surveys,"King County Adult Detention, WA",White,17,62,0.27419354838709675
AL,all-surveys,"Montgomery County, AL",Black or African American,16,29,0.5517241379310345
AZ,all-surveys,"Pima County Jail, AZ",Black or African American,16,209,0.07655502392344497
CA,all-surveys,"Madera County, CA",White,16,90,0.17777777777777778
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Other,16,182,0.08791208791208792
