state,answer_set,facility_name,age,count,n_respondents,pct_of_respondents
CA,all-surveys,"Santa Clara County, CA",56 - 65,21,354,0.059322033898305086
CO,all-surveys,"Denver County Jail, CO",46 - 55,21,149,0.14093959731543623
IL,all-surveys,"Kane County, IL",26 - 35,21,68,0.3088235294117647
MA,all-surveys,"Bristol County House of Correction, MA",36 - 45,21,56,0.375
MA,all-surveys,"Middlesex County House of Corrections, MA",36 - 45,21,66,0.3181818181818182
MA,all-surveys,"Suffolk County Jail, MA",26 - 35,21,70,0.3
MI,all-surveys,"Macomb County, MI",36 - 45,21,55,0.38181818181818183
MO,all-surveys,"St. Louis County Jail, MO",18 - 25,21,94,0.22340425531914893
NY,all-surveys,"Albany County Correctional Facility, NY",18 - 25,21,88,0.23863636363636365
NY,all-surveys,"Erie County, NY",36 - 45,21,56,0.375
PA,all-surveys,"Allegheny County Jail, PA",26 - 35,21,53,0.39622641509433965
PA,all-surveys,"Berks County Jail, PA",36 - 45,21,59,0.3559322033898305
PA,all-surveys,"Dauphin County Jail, PA",18 - 25,21,118,0.17796610169491525
PA,all-surveys,"Lebanon County, PA",26 - 35,21,66,0.3181818181818182
PA,all-surveys,"Lebanon County, PA",36 - 45,21,66,0.3181818181818182
PA,all-surveys,"Westmoreland County, PA",46 - 55,21,90,0.23333333333333334
TN,all-surveys,"Sullivan County Jail, TN",46 - 55,21,86,0.2441860465116279
TX,all-surveys,"Collin County, TX ",36 - 45,21,68,0.3088235294117647
VA,all-surveys,"Roanoke City Adult Detention Center, VA",36 - 45,21,64,0.328125
CA,all-surveys,"Butte County, CA",26 - 35,20,56,0.35714285714285715
CA,all-surveys,"Butte County, CA",36 - 45,20,56,0.35714285714285715
CA,all-surveys,"Fresno County, CA",18 - 25,20,226,0.08849557522123894
CO,all-surveys,"Jefferson County Detention Facility, CO",26 - 35,20,76,0.2631578947368421
GA,all-surveys,"Cobb County, GA",36 - 45,20,59,0.3389830508474576
IL,all-surveys,"Kane County, IL",36 - 45,20,68,0.29411764705882354
NJ,all-surveys,"Essex County Correctional Facility, NJ",26 - 35,20,67,0.29850746268656714
NJ,all-surveys,"Essex County Correctional Facility, NJ",36 - 45,20,67,0.29850746268656714
NY,all-surveys,"Pasco County Corrections, FL",18 - 25,20,148,0.13513513513513514
PA,all-surveys,"Lackawana County, PA",46 - 55,20,116,0.1724137931034483
PA,all-surveys,"Lehigh County, PA",26 - 35,20,76,0.2631578947368421
SC,all-surveys,"Richland County Glenn Detention Center, SC",26 - 35,20,56,0.35714285714285715
TN,all-surveys,"Sullivan County Jail, TN",26 - 35,20,86,0.23255813953488372
UT,all-surveys,"Salt Lake City County, UT",26 - 35,20,68,0.29411764705882354
WV,all-surveys,WV DCR Central Regional Jail,26 - 35,20,41,0.4878048780487805
AZ,all-surveys,"Pinal County Jail, AZ",36 - 45,19,51,0.37254901960784315
CO,all-surveys,"Weld County, CO",18 - 25,19,132,0.14393939393939395
DC,all-surveys,DC DOC: Central Detention Facility,36 - 45,19,82,0.23170731707317074
FL,all-surveys,"Escambia County Jail, FL",36 - 45,19,54,0.35185185185185186
FL,all-surveys,"Leon County Jail, FL",18 - 25,19,94,0.20212765957446807
MA,all-surveys,"Essex County Middleton HOC, MA",36 - 45,19,71,0.2676056338028169
MA,all-surveys,"Worcester County Jail, MA",26 - 35,19,58,0.3275862068965517
NC,all-surveys,"Cumberland County, NC",26 - 35,19,83,0.2289156626506024
NY,all-surveys,"Suffolk County, NY ",46 - 55,19,71,0.2676056338028169
OH,all-surveys,"Lorain County, OH ",36 - 45,19,45,0.4222222222222222
PA,all-surveys,"Cambria County Prison, PA",36 - 45,19,41,0.4634146341463415
PA,all-surveys,"Lancaster County Prison, PA",26 - 35,19,59,0.3220338983050847
PA,all-surveys,"Lehigh County, PA",36 - 45,19,76,0.25
TX,all-surveys,"Potter County Detention, TX",26 - 35,19,77,0.24675324675324675
VA,all-surveys,"Pamunkey Regional Jail, VA",26 - 35,19,58,0.3275862068965517
VA,all-surveys,"Pamunkey Regional Jail, VA",36 - 45,19,58,0.3275862068965517
WV,all-surveys,WV DCR Southwestern Regional Jail,26 - 35,19,47,0.40425531914893614
AL,all-surveys,"Etowah County Jail, AL",26 - 35,18,53,0.33962264150943394
CA,all-surveys,"Madera County, CA",46 - 55,18,95,0.18947368421052632
CA,all-surveys,"Orange County, CA - Theo Lacy",18 - 25,18,136,0.1323529411764706
CA,all-surveys,"Santa Barbara County, CA",26 - 35,18,72,0.25
CA,all-surveys,"Stanislaus County, CA",18 - 25,18,173,0.10404624277456648
CA,all-surveys,"Ventura County Sheriff's Office, CA",18 - 25,18,101,0.1782178217821782
CO,all-surveys,"Douglas Detention Center, CO",36 - 45,18,42,0.42857142857142855
CO,all-surveys,"Pueblo County, CO",26 - 35,18,93,0.1935483870967742
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",18 - 25,18,183,0.09836065573770492
GA,all-surveys,"Athens Clarke County Jail, GA",26 - 35,18,67,0.26865671641791045
IL,all-surveys,"Winnebago County, IL",18 - 25,18,154,0.11688311688311688
NC,all-surveys,"Cumberland County, NC",18 - 25,18,83,0.21686746987951808
NJ,all-surveys,"Burlington County Department of Corrections, NJ",36 - 45,18,47,0.3829787234042553
NY,all-surveys,"Suffolk County, NY ",36 - 45,18,71,0.2535211267605634
OH,all-surveys,"Summit County, OH",26 - 35,18,49,0.3673469387755102
VA,all-surveys,"Chesapeake Correctional Center, VA",26 - 35,18,75,0.24
CA,all-surveys,"Sacramento County Sheriff's Office, CA",56 - 65,17,296,0.057432432432432436
CO,all-surveys,"Pueblo County, CO",46 - 55,17,93,0.1827956989247312
FL,all-surveys,"Sarasota County, FL",26 - 35,17,65,0.26153846153846155
GA,all-surveys,"Bibb County Jail, GA",26 - 35,17,50,0.34
GA,all-surveys,"Bibb County Jail, GA",36 - 45,17,50,0.34
MA,all-surveys,"Worcester County Jail, MA",36 - 45,17,58,0.29310344827586204
MO,all-surveys,"Cape Girardeau County Jail, MO",26 - 35,17,70,0.24285714285714285
NE,all-surveys,"Lancaster County, NE",46 - 55,17,76,0.2236842105263158
NJ,all-surveys,"Bergen County, NJ",26 - 35,17,51,0.3333333333333333
PA,all-surveys,"Dauphin County Jail, PA",46 - 55,17,118,0.1440677966101695
PA,all-surveys,"Lancaster County Prison, PA",36 - 45,17,59,0.288135593220339
PA,all-surveys,"Lehigh County, PA",46 - 55,17,76,0.2236842105263158
PA,all-surveys,"Washington County, PA ",26 - 35,17,61,0.2786885245901639
SC,all-surveys,"Richland County Glenn Detention Center, SC",36 - 45,17,56,0.30357142857142855
TN,all-surveys,"Davidson County Detention Center, TN",18 - 25,17,118,0.1440677966101695
TN,all-surveys,"Hamilton County, TN",36 - 45,17,47,0.3617021276595745
WA,all-surveys,"Whatcom County, WA - Main Jail",26 - 35,17,49,0.3469387755102041
WI,all-surveys,"Brown County Jail, WI",26 - 35,17,71,0.23943661971830985
WV,all-surveys,WV DCR Western Regional Jail,36 - 45,17,41,0.4146341463414634
AL,all-surveys,"Riverside Regional, VA",36 - 45,16,36,0.4444444444444444
AL,all-surveys,"Tuscaloosa County Jail, AL",36 - 45,16,35,0.45714285714285713
CA,all-surveys,"Orange County, CA - Theo Lacy",46 - 55,16,136,0.11764705882352941
CO,all-surveys,"Pueblo County, CO",18 - 25,16,93,0.17204301075268819
DC,all-surveys,DC DOC: Central Detention Facility,18 - 25,16,82,0.1951219512195122
IL,all-surveys,"Kane County, IL",18 - 25,16,68,0.23529411764705882
IN,all-surveys,"Hamilton County Main Jail, IN",18 - 25,16,96,0.16666666666666666
MA,all-surveys,"Middlesex County House of Corrections, MA",26 - 35,16,66,0.24242424242424243
NM,all-surveys,"Lea County Sheriff's Office, NM",26 - 35,16,35,0.45714285714285713
NY,all-surveys,"Monroe County Sheriff's Department, NY",18 - 25,16,87,0.1839080459770115
NY,all-surveys,"Onondaga County-Justice Center, NY",26 - 35,16,39,0.41025641025641024
OH,all-surveys,Corrections Center of NW Ohio,26 - 35,16,45,0.35555555555555557
OH,all-surveys,Corrections Center of NW Ohio,36 - 45,16,45,0.35555555555555557
TX,all-surveys,"Travis County Jail, TX",18 - 25,16,207,0.07729468599033816
TX,all-surveys,"Wichita County, TX ",36 - 45,16,35,0.45714285714285713
VA,all-surveys,"Virginia Beach Correctional Facility, VA",18 - 25,16,109,0.14678899082568808
WA,all-surveys,"King County Adult Detention, WA",36 - 45,16,64,0.25
AL,all-surveys,"Etowah County Jail, AL",36 - 45,15,53,0.2830188679245283
AZ,all-surveys,"Yavapai County Jail, AZ",36 - 45,15,36,0.4166666666666667
CA,all-surveys,"Sonoma County, CA",36 - 45,15,42,0.35714285714285715
CO,all-surveys,"Mesa County, CO",46 - 55,15,94,0.1595744680851064
FL,all-surveys,"Bay County, FL",36 - 45,15,35,0.42857142857142855
FL,all-surveys,"Lee County, FL",26 - 35,15,59,0.2542372881355932
FL,all-surveys,"Okaloosa County Department of Corrections, FL",26 - 35,15,60,0.25
IA,all-surveys,"Polk County, IA ",36 - 45,15,44,0.3409090909090909
IN,all-surveys,"Elkhart County Jail, IN",36 - 45,15,57,0.2631578947368421
MI,all-surveys,"Kent County, MI ",18 - 25,15,100,0.15
NE,all-surveys,"Lancaster County, NE",26 - 35,15,76,0.19736842105263158
NJ,all-surveys,"Burlington County Department of Corrections, NJ",26 - 35,15,47,0.3191489361702128
NM,all-surveys,"Luna County Detention Center, NM",36 - 45,15,36,0.4166666666666667
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",36 - 45,15,37,0.40540540540540543
TN,all-surveys,"Hamilton County, TN",26 - 35,15,47,0.3191489361702128
TX,all-surveys,"McLennan County, TX",46 - 55,15,81,0.18518518518518517
TX,all-surveys,"Potter County Detention, TX",46 - 55,15,77,0.19480519480519481
VA,all-surveys,"Western Regional, VA",26 - 35,15,54,0.2777777777777778
AZ,all-surveys,"Pinal County Jail, AZ",26 - 35,14,51,0.27450980392156865
CA,all-surveys,"Alameda County-Santa Rita, CA",26 - 35,14,41,0.34146341463414637
CA,all-surveys,"San Joaquin County Jail, CA",18 - 25,14,94,0.14893617021276595
CA,all-surveys,"Santa Barbara County, CA",46 - 55,14,72,0.19444444444444445
CA,all-surveys,"Sonoma County, CA",26 - 35,14,42,0.3333333333333333
CO,all-surveys,"Douglas Detention Center, CO",26 - 35,14,42,0.3333333333333333
FL,all-surveys,"Escambia County Jail, FL",26 - 35,14,54,0.25925925925925924
FL,all-surveys,Santa Rosa County FL,26 - 35,14,60,0.23333333333333334
GA,all-surveys,"Dekalb County Jail, GA",36 - 45,14,37,0.3783783783783784
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",46 - 55,14,111,0.12612612612612611
IL,all-surveys,"Winnebago County, IL",46 - 55,14,154,0.09090909090909091
IN,all-surveys,"Hamilton County Main Jail, IN",46 - 55,14,96,0.14583333333333334
KS,all-surveys,"Shawnee County Detention Center, KS",26 - 35,14,38,0.3684210526315789
MA,all-surveys,"Bristol County House of Correction, MA",26 - 35,14,56,0.25
MA,all-surveys,"Plymouth County Correctional Facility, MA",36 - 45,14,39,0.358974358974359
MD,all-surveys,"Washington County Detention Center, MD",26 - 35,14,37,0.3783783783783784
MI,all-surveys,"Kent County, MI ",46 - 55,14,100,0.14
NC,all-surveys,"Onslow County Jail, NC",26 - 35,14,33,0.42424242424242425
NJ,all-surveys,"Essex County Correctional Facility, NJ",18 - 25,14,67,0.208955223880597
NY,all-surveys,"Erie County, NY",26 - 35,14,56,0.25
OR,all-surveys,"Lincoln County, OR",36 - 45,14,40,0.35
PA,all-surveys,"Lehigh County, PA",18 - 25,14,76,0.18421052631578946
PA,all-surveys,"Westmoreland County, PA",18 - 25,14,90,0.15555555555555556
TX,all-surveys,"Guadalupe County, TX",46 - 55,14,76,0.18421052631578946
TX,all-surveys,"Johnson County, TX",26 - 35,14,50,0.28
VA,all-surveys,"Arlington County Detention Center, VA",26 - 35,14,33,0.42424242424242425
VA,all-surveys,"Chesapeake Correctional Center, VA",46 - 55,14,75,0.18666666666666668
WA,all-surveys,"Yakima County, WA",46 - 55,14,108,0.12962962962962962
WV,all-surveys,WV DCR Southern Regional Jail,36 - 45,14,29,0.4827586206896552
WV,all-surveys,WV DCR Tygart Valley Regional Jail,26 - 35,14,59,0.23728813559322035
CA,all-surveys,"Orange County, CA - Central Jail Complex",18 - 25,13,104,0.125
CA,all-surveys,"Ventura County Sheriff's Office, CA",46 - 55,13,101,0.12871287128712872
CO,all-surveys,"Larimer County, CO",26 - 35,13,46,0.2826086956521739
FL,all-surveys,"Pinellas County Jail, FL",46 - 55,13,87,0.14942528735632185
IA,all-surveys,"Polk County, IA ",26 - 35,13,44,0.29545454545454547
KS,all-surveys,"Douglas County, KS",26 - 35,13,34,0.38235294117647056
MA,all-surveys,"Worcester County Jail, MA",46 - 55,13,58,0.22413793103448276
MD,all-surveys,"Washington County Detention Center, MD",36 - 45,13,37,0.35135135135135137
MO,all-surveys,"Cape Girardeau County Jail, MO",18 - 25,13,70,0.18571428571428572
NJ,all-surveys,"Bergen County, NJ",36 - 45,13,51,0.2549019607843137
NJ,all-surveys,"Camden County Department of Corrections, NJ",26 - 35,13,24,0.5416666666666666
NM,all-surveys,"Chaves County Adult Detention Center, NM",26 - 35,13,33,0.3939393939393939
NM,all-surveys,"Lea County Sheriff's Office, NM",36 - 45,13,35,0.37142857142857144
NY,all-surveys,"Onondaga County, NY",26 - 35,13,22,0.5909090909090909
OH,all-surveys,"Mahoning County Justice Center, OH",46 - 55,13,83,0.1566265060240964
PA,all-surveys,"Delaware County, PA",26 - 35,13,37,0.35135135135135137
PA,all-surveys,"Fayette County, PA",26 - 35,13,36,0.3611111111111111
PA,all-surveys,"Fayette County, PA",36 - 45,13,36,0.3611111111111111
PA,all-surveys,"Franklin County, PA",26 - 35,13,33,0.3939393939393939
PA,all-surveys,"Lancaster County Prison, PA",18 - 25,13,59,0.22033898305084745
TN,all-surveys,"Davidson County Detention Center, TN",46 - 55,13,118,0.11016949152542373
TN,all-surveys,"Warren County Jail, TN",36 - 45,13,27,0.48148148148148145
TX,all-surveys,"GEO Group-Kinney County, TX",26 - 35,13,24,0.5416666666666666
TX,all-surveys,"Johnson County, TX",36 - 45,13,50,0.26
WA,all-surveys,"Whatcom County, WA - Main Jail",36 - 45,13,49,0.2653061224489796
WI,all-surveys,"Dodge County, WI",36 - 45,13,33,0.3939393939393939
WV,all-surveys,WV DCR Central Regional Jail,36 - 45,13,41,0.3170731707317073
WV,all-surveys,WV DCR North Central Regional Jail,18 - 25,13,114,0.11403508771929824
WV,all-surveys,WV DCR South Central Regional Jail,36 - 45,13,36,0.3611111111111111
WV,all-surveys,WV DCR Southwestern Regional Jail,36 - 45,13,47,0.2765957446808511
CA,all-surveys,"Butte County, CA",46 - 55,12,56,0.21428571428571427
CO,all-surveys,"Jefferson County Detention Facility, CO",18 - 25,12,76,0.15789473684210525
CO,all-surveys,"Weld County, CO",46 - 55,12,132,0.09090909090909091
FL,all-surveys,"Pinellas County Jail, FL",56 - 65,12,87,0.13793103448275862
GA,all-surveys,"Dekalb County Jail, GA",26 - 35,12,37,0.32432432432432434
IN,all-surveys,"La Port County Jail, IN",26 - 35,12,37,0.32432432432432434
MA,all-surveys,"Essex County Middleton HOC, MA",18 - 25,12,71,0.16901408450704225
MA,all-surveys,"Middlesex County House of Corrections, MA",18 - 25,12,66,0.18181818181818182
MA,all-surveys,"Plymouth County Correctional Facility, MA",26 - 35,12,39,0.3076923076923077
MI,all-surveys,"Genesee County, MI",26 - 35,12,33,0.36363636363636365
