state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
CA,all-surveys,"Madera County, CA",Definitely will vote,13,44,0.29545454545454547
CA,all-surveys,"Orange County, CA - Theo Lacy",Definitely will not vote,13,93,0.13978494623655913
CO,all-surveys,"Jefferson County Detention Facility, CO",Probably will vote,13,46,0.2826086956521739
FL,all-surveys,"Lee County, FL",Definitely will vote,13,36,0.3611111111111111
FL,all-surveys,"Sarasota County, FL",Probably will vote,13,46,0.2826086956521739
GA,all-surveys,"Athens Clarke County Jail, GA",Probably will not vote,13,50,0.26
GA,all-surveys,"Athens Clarke County Jail, GA",Probably will vote,13,50,0.26
IL,all-surveys,"Winnebago County, IL",Definitely will not vote,13,108,0.12037037037037036
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Definitely will not vote,13,27,0.48148148148148145
MA,all-surveys,"Worcester County Jail, MA",Probably will not vote,13,51,0.2549019607843137
MI,all-surveys,"Kent County, MI ",Probably will not vote,13,72,0.18055555555555555
MI,all-surveys,"Macomb County, MI",Definitely will not vote,13,54,0.24074074074074073
NE,all-surveys,"Lancaster County, NE",Probably will not vote,13,38,0.34210526315789475
PA,all-surveys,"Berks County Jail, PA",Definitely will not vote,13,49,0.2653061224489796
PA,all-surveys,"Berks County Jail, PA",Definitely will vote,13,49,0.2653061224489796
PA,all-surveys,"Montgomery County Correctional Facility, PA",Probably will not vote,13,56,0.23214285714285715
PA,all-surveys,"Montgomery County Correctional Facility, PA",Probably will vote,13,56,0.23214285714285715
PA,all-surveys,"Westmoreland County, PA",Definitely will not vote,13,57,0.22807017543859648
TX,all-surveys,"Collin County, TX ",Definitely will vote,13,52,0.25
TX,all-surveys,"Collin County, TX ",Probably will not vote,13,52,0.25
UT,all-surveys,"Salt Lake City County, UT",Definitely will vote,13,49,0.2653061224489796
UT,all-surveys,"Salt Lake City County, UT",Probably will vote,13,49,0.2653061224489796
VA,all-surveys,"Arlington County Detention Center, VA",Probably will vote,13,30,0.43333333333333335
VA,all-surveys,"Chesapeake Correctional Center, VA",Probably will not vote,13,60,0.21666666666666667
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Probably will not vote,13,42,0.30952380952380953
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Probably will vote,13,81,0.16049382716049382
VA,all-surveys,"Western Regional, VA",Definitely will not vote,13,36,0.3611111111111111
WA,all-surveys,"Yakima County, WA",Probably will vote,13,86,0.1511627906976744
AL,all-surveys,"Riverside Regional, VA",Definitely will not vote,12,24,0.5
AZ,all-surveys,"Yavapai County Jail, AZ",Definitely will not vote,12,23,0.5217391304347826
CA,all-surveys,"Butte County, CA",Definitely will vote,12,45,0.26666666666666666
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Probably will vote,12,77,0.15584415584415584
IA,all-surveys,"Polk County, IA ",Probably will not vote,12,30,0.4
IN,all-surveys,"Hamilton County Main Jail, IN",Definitely will vote,12,61,0.19672131147540983
MA,all-surveys,"Middlesex County House of Corrections, MA",Probably will vote,12,53,0.22641509433962265
MA,all-surveys,"Worcester County Jail, MA",Definitely will vote,12,51,0.23529411764705882
MI,all-surveys,"Macomb County, MI",Definitely will vote,12,54,0.2222222222222222
NY,all-surveys,"Albany County Correctional Facility, NY",Probably will vote,12,72,0.16666666666666666
NY,all-surveys,"Erie County, NY",Probably will not vote,12,46,0.2608695652173913
NY,all-surveys,"Monroe County Sheriff's Department, NY",Definitely will not vote,12,62,0.1935483870967742
NY,all-surveys,"Suffolk County, NY ",Definitely will not vote,12,50,0.24
NY,all-surveys,"Suffolk County, NY ",Probably will vote,12,50,0.24
PA,all-surveys,"Lehigh County, PA",Probably will not vote,12,57,0.21052631578947367
TX,all-surveys,"McLennan County, TX",Definitely will vote,12,56,0.21428571428571427
