state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
TX,all-surveys,"McLennan County, TX",Republican,21,80,0.2625
VA,all-surveys,"Pamunkey Regional Jail, VA",Independent,21,58,0.3620689655172414
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Independent,21,63,0.3333333333333333
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Republican,21,108,0.19444444444444445
VA,all-surveys,"Western Regional, VA",Independent,21,53,0.39622641509433965
WA,all-surveys,"Yakima County, WA",Republican,21,110,0.19090909090909092
CA,all-surveys,"Butte County, CA",Independent,20,56,0.35714285714285715
CA,all-surveys,"San Joaquin County Jail, CA",Independent,20,93,0.21505376344086022
CO,all-surveys,"Pueblo County, CO",Other,20,95,0.21052631578947367
FL,all-surveys,"Leon County Jail, FL",Democrat,20,95,0.21052631578947367
FL,all-surveys,"Pinellas County Jail, FL",Other,20,90,0.2222222222222222
FL,all-surveys,Santa Rosa County FL,Independent,20,60,0.3333333333333333
MA,all-surveys,"Suffolk County Jail, MA",Democrat,20,70,0.2857142857142857
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Democrat,20,67,0.29850746268656714
TX,all-surveys,"Potter County Detention, TX",Republican,20,77,0.2597402597402597
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Other,20,108,0.18518518518518517
WA,all-surveys,"King County Adult Detention, WA",Other,20,62,0.3225806451612903
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Independent,20,59,0.3389830508474576
AL,all-surveys,"Etowah County Jail, AL",Republican,19,54,0.35185185185185186
CA,all-surveys,"Madera County, CA",Democrat,19,95,0.2
CO,all-surveys,"Weld County, CO",Other,19,130,0.14615384615384616
MO,all-surveys,"Cape Girardeau County Jail, MO",Independent,19,68,0.27941176470588236
MO,all-surveys,"Cape Girardeau County Jail, MO",Republican,19,68,0.27941176470588236
NJ,all-surveys,"Bergen County, NJ",Independent,19,50,0.38
NJ,all-surveys,"Essex County Correctional Facility, NJ",Democrat,19,65,0.2923076923076923
NY,all-surveys,"Erie County, NY",Independent,19,57,0.3333333333333333
PA,all-surveys,"Lancaster County Prison, PA",Independent,19,59,0.3220338983050847
PA,all-surveys,"Lebanon County, PA",Democrat,19,65,0.2923076923076923
TN,all-surveys,"Hamilton County, TN",Independent,19,46,0.41304347826086957
TX,all-surveys,"Johnson County, TX",Independent,19,50,0.38
TX,all-surveys,"MTC: Giles Dalby, TX",Other,19,130,0.14615384615384616
VA,all-surveys,"Rappahannock Regional Jail, VA",Democrat,19,75,0.25333333333333335
WA,all-surveys,"Yakima County, WA",Other,19,110,0.17272727272727273
CA,all-surveys,"San Joaquin County Jail, CA",Democrat,18,93,0.1935483870967742
CA,all-surveys,"San Joaquin County Jail, CA",Other,18,93,0.1935483870967742
CA,all-surveys,"Santa Barbara County, CA",Democrat,18,73,0.2465753424657534
CA,all-surveys,"Ventura County Sheriff's Office, CA",Republican,18,98,0.1836734693877551
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Independent,18,59,0.3050847457627119
MA,all-surveys,"Bristol County House of Correction, MA",Republican,18,56,0.32142857142857145
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Democrat,18,91,0.1978021978021978
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Republican,18,91,0.1978021978021978
NY,all-surveys,"Niagara County Correctional Facility, NY",Independent,18,48,0.375
OH,all-surveys,"Summit County, OH",Independent,18,49,0.3673469387755102
PA,all-surveys,"Dauphin County Jail, PA",Other,18,117,0.15384615384615385
PA,all-surveys,"Lackawana County, PA",Democrat,18,111,0.16216216216216217
PA,all-surveys,"Lancaster County Prison, PA",Republican,18,59,0.3050847457627119
PA,all-surveys,"Lehigh County, PA",Republican,18,77,0.23376623376623376
TX,all-surveys,"Potter County Detention, TX",Other,18,77,0.23376623376623376
VA,all-surveys,"Arlington County Detention Center, VA",Independent,18,32,0.5625
VA,all-surveys,"Chesapeake Correctional Center, VA",Republican,18,72,0.25
WA,all-surveys,"King County Adult Detention, WA",Independent,18,62,0.2903225806451613
AZ,all-surveys,"Yavapai County Jail, AZ",Independent,17,35,0.4857142857142857
CA,all-surveys,"Madera County, CA",Other,17,95,0.17894736842105263
CA,all-surveys,"Orange County, CA - Central Jail Complex",Democrat,17,102,0.16666666666666666
CO,all-surveys,"Weld County, CO",Democrat,17,130,0.13076923076923078
FL,all-surveys,"Lee County, FL",Republican,17,57,0.2982456140350877
NE,all-surveys,"Lancaster County, NE",Other,17,76,0.2236842105263158
NY,all-surveys,"Albany County Correctional Facility, NY",Other,17,87,0.19540229885057472
